"3","BS136(15) ","3-1&frasl;4&#733; ","4&#733; ","1-1&frasl;2&#733; ","Each "," 15.00 "," 8.25 ","15.50","8.75"
"4","BS138(16)","3-1&frasl;2&#733;","5&#733;","2&#733;","Each"," 20.00"," 11.00","21.00","11.50"
"1","PT14-0750","3/4&#733;&times;60 yds","48"," 4.20"," 4.05","4.35","4.20"
"2","PT14-1000","1&#733;&times;60 yds","36"," 5.30"," 5.05","5.50","5.25"
"3","PT14-1500","1-1/2&#733;&times;60 yds","24"," 7.95"," 7.60","8.25","7.90"
"4","PT14-2000","2&#733;&times;60 yds","24"," 10.60"," 10.20","11.00","10.50"
"1","DB100-0125 ","1&frasl;8&#733;&times;72 yds ","144 "," 2.35 "," 2.25 "," 2.10 ","2.45","2.35","2.20"
"2","DB100-0187 ","3&frasl;16&#733;&times;72 yds ","144 "," 2.45 "," 2.35 "," 2.15 ","2.55","2.45","2.25"
"3","DB100-0250 ","1&frasl;4&#733;&times;72 yds ","144 "," 2.55 "," 2.45 "," 2.20 ","2.65","2.55","2.30"
"4","DB100-0312 ","5&frasl;16&#733;&times;72 yds ","96 "," 3.40 "," 3.25 "," 3.10 ","3.50","3.35","3.20"
"5","DB100-0375 ","3&frasl;8&#733;&times;72 yds ","96 "," 3.50 "," 3.40 "," 3.20 ","3.60","3.50","3.30"
"6","DB100-0437 ","7&frasl;16&#733;&times;72 yds ","72 "," 3.85 "," 3.50 "," 3.35 ","3.95","3.60","3.45"
"7","DB100-0500 ","1&frasl;2&#733;&times;72 yds ","72 "," 4.20 "," 3.70 "," 3.60 ","4.35","3.85","3.75"
"8","DB100-0562 ","9&frasl;16&#733;&times;72 yds ","64 "," 4.30 "," 3.90 "," 3.70 ","4.45","4.05","3.85"
"9","DB100-0625 ","5&frasl;8&#733;&times;72 yds ","60 "," 5.35 "," 5.15 "," 5.05 ","5.50","5.30","5.20"
"10","DB100-0687 ","11&frasl;16&#733;&times;72 yds ","48 "," 5.50 "," 5.35 "," 5.25 ","5.70","5.55","5.45"
"11","DB100-0750 ","3&frasl;4&#733;&times;72 yds ","48 "," 6.15 "," 5.80 "," 5.60 ","6.40","6.05","5.85"
"12","DB100-0812 ","13&frasl;16&#733;&times;72 yds ","40 "," 7.50 "," 7.00 "," 6.55 ","7.75","7.25","6.80"
"13","DB100-0875 ","7&frasl;8&#733;&times;72 yds ","40 "," 7.70 "," 7.25 "," 6.90 ","8.00","7.55","7.20"
"14","DB100-0937 ","15&frasl;16&#733;&times;72 yds ","36 "," 7.85 "," 7.30 "," 7.00 ","8.15","7.60","7.30"
"15","DB100-1000 ","1&#733;&times;72 yds ","36 "," 7.95 "," 7.40 "," 7.10 ","8.25","7.70","7.40"
"16","DB100-1125 ","1-1&frasl;8&#733;&times;72 yds ","32 "," 9.55 "," 8.80 "," 8.55 ","9.90","9.10","8.85"
"17","DB100-1250 ","1-1&frasl;4&#733;&times;72 yds ","32 "," 10.30 "," 9.55 "," 9.35 ","10.65","9.90","9.70"
"18","DB100-1375 ","1-3&frasl;8&#733;&times;72 yds ","24 "," 11.30 "," 10.20 "," 10.00 ","11.70","10.60","10.35"
"19","DB100-1500 ","1-1&frasl;2&#733;&times;72 yds ","24 "," 12.00 "," 10.70 "," 10.50 ","12.40","11.00","10.80"
"20","DB100-1750 ","1-3&frasl;4&#733;&times;72 yds ","24 "," 14.10 "," 13.50 "," 13.00 ","14.50","14.00","13.50"
"21","DB100-2000 ","2&#733;&times;72 yds ","24 "," 16.00 "," 14.85 "," 14.25 ","16.50","15.50","14.75"
"22","DB100-2250 ","2-1&frasl;4&#733;&times;72 yds ","12 "," 18.20 "," 17.25 "," 16.75 ","19.00","18.00","17.50"
"23","DB100-2500 ","2-1&frasl;2&#733;&times;72 yds ","12 "," 20.10 "," 19.40 "," 18.50 ","21.00","20.25","19.50"
"24","DB100-3000 ","3&#733;&times;72 yds ","12 "," 24.00 "," 22.25 "," 21.25 ","25.00","23.00","22.00"
"25","DB100-3500 ","3-1&frasl;2&#733;&times;72 yds ","8 "," 28.00 "," 26.50 "," 25.00 ","29.00","27.50","26.00"
"26","DB100-4000 ","4&#733;&times;72 yds ","8 "," 32.00 "," 29.75 "," 28.50 ","33.00","31.00","29.50"
"27","DB100-4500 ","4-1&frasl;2&#733;&times;72 yds ","8 "," 35.50 "," 33.50 "," 32.50 ","37.00","35.00","34.00"
"28","DB100-5000 ","5&#733;&times;72 yds ","8 "," 39.50 "," 36.50 "," 35.50 ","41.00","38.00","37.00"
"29","DB100-5500 ","5-1&frasl;2&#733;&times;72 yds ","8 "," 44.00 "," 42.00 "," 40.00 ","46.00","43.00","41.00"
"30","DB100-6000 ","6&#733;&times;72 yds ","8 "," 48.00 "," 44.50 "," 42.50 ","50.00","46.00","44.00"
"31","DB100-7000 ","7&#733;&times;72 yds ","4 "," 56.00 "," 52.00 "," 50.00 ","58.00","54.00","52.00"
"32","DB100-8000 ","8&#733;&times;72 yds ","4 "," 64.00 "," 59.00 "," 57.00 ","66.00","61.00","59.00"
"33","DB100-9000 ","9&#733;&times;72 yds ","4 "," 72.00 "," 67.00 "," 65.00 ","75.00","69.00","67.00"
"34","DB100-10000 ","10&#733;&times;72 yds ","4 "," 79.00 "," 73.00 "," 71.00 ","82.00","76.00","74.00"
